"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"	"State"	"MaxFC"	"InitialState"
"IL12B"	"IL12B"	0.10500803393059	-0.0166649085622467	0.113460772122526	1.19278377476802	0.149708627380701	0.206851490299071	0.252888118535676	-0.378033764714803	-0.20705700159332	-0.142670347090199	-0.149548880424044	-0.0304251710923345	0.211008248152218	0.0494071606697203	-0.114505321164812	-0.215225108358589	-0.106663949470969	-0.214589034426262	-0.00133552684182757	"S01"	1.19278377476802	"IS04"
"EBI3"	"EBI3"	0.385639258585571	-0.0541739042071464	-0.125808627121483	1.18303790528865	0.0788241591760821	-0.159403918591167	0.700623618397656	-0.792167034117395	-0.316566149626579	-0.0351189417519525	0.0383132145776123	-0.0322152418454763	0.38216041233127	0.0685017437552097	-0.0637971341282564	-0.00162637590926059	0.0278456752885817	-0.149679113436209	0.0920798223156641	"S01"	1.18303790528865	"IS04"
"GIMAP5"	"GIMAP5"	0.279070029206206	-0.263903219013557	-0.305486597817497	1.15967494003393	-0.226397883121095	0.108775388536667	0.703492403201964	-0.530982272466584	-0.294867865156762	1.00783372990671	-0.26981032151528	0.106607383141995	-0.200306157635419	-0.199641311303997	-0.204579604217874	-0.271738016005787	-0.150884460842818	-0.0833697859232542	-0.072693475095023	"S01"	1.15967494003393	"IS04"
"GPR183"	"GPR183"	0.583387119500879	-0.0416673486733598	-0.050791944425929	1.13580267191201	-0.0977381077387194	0.0270205230026405	0.298384036005092	-0.565083429715928	-0.192019292787956	0.315760104305149	0.0891298760948486	-0.0420908664963975	0.191994441910154	-0.196492680728245	-0.124440536247718	-0.192559445214953	0.107100906689757	-0.0403326566987051	-0.24546861892833	"S01"	1.13580267191201	"IS04"
"GCSAM"	"GCSAM"	0.0347167798952628	0.462343298728545	0.272852988508142	1.1269550543123	0.0157079977223158	-0.0375046826845645	-0.0537148622987355	-0.241089852564403	-0.0684668508789256	0.0513360403386151	-0.0274949600551631	-0.210275823011302	-0.0227908831032562	-0.0300603247333232	-0.128441663672587	-0.349521257468294	-0.199131462974454	0.000734554279658891	-0.0283785930111274	"S01"	1.1269550543123	"IS04"
"PLEK"	"PLEK"	0.9627880692765	0.171874482887447	-0.0522302089523614	1.12569003331693	-0.0736131088201943	0.0270988471344424	0.508314946095278	-0.571361764866409	-0.279553347480527	0.0227589697469282	0.0727434495265906	-0.01469367437581	0.0126726663367743	-0.330572804951726	-0.133843717832458	-0.14601358949635	0.0960537045534067	-0.16004258157213	-0.177731275369985	"S01"	1.12569003331693	"IS04"
"AMICA1"	"AMICA1"	1.01396890276522	-0.127958515885032	-0.0433836625138875	1.11110375481304	-0.134207749588862	0.407751862184627	0.391547788052202	-0.941951627173465	-0.0108762654869707	0.357802231745978	-0.109194766086888	-0.0210881920083756	0.487175597681101	-0.323523066366273	-0.177944966082614	-0.0653441387995658	-0.0177649164370768	-0.111165477814231	0.0305646334601561	"S01"	1.11110375481304	"IS04"
"IL10RA"	"IL10RA"	0.499931462381855	-0.0942493438273538	-0.106140360886108	1.1086511688454	-0.103339028573691	-0.0820727339017553	0.287462889052222	-0.291448204394941	-0.0897685612605081	-0.0400400958972131	-0.107171755460653	-0.0562578764503198	-0.131773313387106	-0.150913629635106	-0.0520822268030394	-0.141113518143206	-0.084505842500325	-0.0425480765166329	-0.074158415367862	"S01"	1.1086511688454	"IS04"
"LPXN"	"LPXN"	0.676785824995766	-0.0102898625836674	-0.138031503393595	1.08414699166337	-0.112975919320518	-0.0266430325829646	0.338107444869905	-0.328460163070294	-0.14152230994897	-0.0663152072350718	0.187506610266037	-0.0403929096481333	0.0745651173618186	-0.183040268820171	-0.0960800188069766	-0.214618841107599	0.0144273418089377	-0.222100708421557	-0.17184430274723	"S01"	1.08414699166337	"IS04"
"TREML1"	"TREML1"	0.724590679396883	-0.217707148773921	-0.0928066688949989	1.04402661992381	0.0225714103820206	0.123186589424064	0.144619584469804	-0.648186056954584	-0.169819796973899	0.147488370338041	-0.0501860826430914	-0.0957469593936989	0.283278417719433	-0.0560232636251705	0.0574513712091559	-0.258987380563117	0.185160752981712	-0.222909280734483	0.336058462774124	"S01"	1.04402661992381	"IS04"
"SEPT6"	"SEPT6"	0.0171095741352288	0.0405104097890373	-0.0592672027858717	0.999557967235999	0.0209224031858292	0.026431717617482	0.0425057482204945	-0.137116402948174	-0.174710080124508	-0.0552803871902389	-0.0657493321352806	-0.080695498501273	0.0142182911707701	0.186978963240975	-0.13578844588311	-0.126479527555737	-0.0744315830596327	-0.172376406476114	-0.173305095426137	"S01"	0.999557967235999	"IS04"
"RCSD1"	"RCSD1"	0.338614334440947	-0.134188661526658	-0.135144692694627	0.994659626890018	0.0764050568019305	0.00672820065147644	0.120461446765889	-0.275494352464649	-0.188251099341786	0.405332949112739	-0.115976754152329	0.210584627333589	-0.176428521366163	-0.145889904971236	-0.0686882966272959	-0.210648851573909	-0.129007459551414	-0.13941549945451	-0.125404908037205	"S01"	0.994659626890018	"IS04"
