"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"
"SLC46A2__pos"	97.2553665050239	2.22044604925031e-16	12.2537476002843	4.93398205232096	0.0664510474998995	194.24450358367	2.22044604925031e-16	8.1521061455814e-09	73.1531071896222	18.7033605503781	2.22044604925031e-16	2.22044604925031e-16	7.84779971780512e-15	2.22044604925031e-16	9.23325764068793	2.22044604925031e-16	13.2240886855365	2.22044604925031e-16	2.22044604925031e-16
"LCE1F__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	214.021713826767	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PDCD1LG2__pos"	76.4604215720276	2.22044604925031e-16	5.41695721633782e-12	19.6627135966184	2.22044604925031e-16	2.22044604925031e-16	221.680323676683	2.22044604925031e-16	3.80803804023287e-10	37.6174278703657	25.7128899326537	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	1.03153428611782e-09	0.0118257705654314	36.2997487303483	3.81687774062799	2.22044604925031e-16
"CD1A__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	486.958293069509	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IL22RA2__pos"	2.22044604925031e-16	37.0210016421873	2.22044604925031e-16	33.5684318029206	2.22044604925031e-16	2.22044604925031e-16	33.7420503839711	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	17.5266356804247	2.22044604925031e-16	355.037576828366	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CIT__pos"	2.22044604925031e-16	39.7179795490392	266.303049542479	0.70960133683617	10.4884269333149	22.0834237656506	22.6537781951088	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	16.6214028027823	2.22044604925031e-16	2.22044604925031e-16	57.8612312162179	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"B3GNT5__pos"	2.22044604925031e-16	42.298716483394	139.497049645654	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	4.48252639811568	2.22044604925031e-16	49.9753153634576	6.49136146686816	172.171266564775	7.77913804212047	2.22044604925031e-16	14.3065682713905	5.50768011553224	2.22044604925031e-16	2.22044604925031e-16	38.0498051857448	2.22044604925031e-16
"C1orf68__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	11.0411260420676	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	57.5904531716325	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	245.919732611494	2.22044604925031e-16	2.22044604925031e-16	16.8503403181527	2.22044604925031e-16
"CD207__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	8.11872179206376	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	497.152789597882	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CCL13__pos"	139.438713465026	2.22044604925031e-16	2.22044604925031e-16	2.07408903735464	2.22044604925031e-16	2.22044604925031e-16	112.534899527102	2.22044604925031e-16	2.22044604925031e-16	40.8402110828973	49.8022393568444	2.22044604925031e-16	75.8529739917742	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.37345998197163	2.22044604925031e-16	2.22044604925031e-16
"S100B__pos"	2.22044604925031e-16	5.43926643423499	2.22044604925031e-16	5.59503031029459	2.22044604925031e-16	2.22044604925031e-16	19.1858310361174	2.22044604925031e-16	2.22044604925031e-16	87.6022982078247	4.62953209245765	1.99570145863528	313.786250696034	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.05694452541482e-15	2.22044604925031e-16
"AQP1__pos"	4.20268521279457	2.22044604925031e-16	4.3782661671921	10.6335402401341	1.74388273682361e-09	38.2881405064624	4.46052995909573	2.22044604925031e-16	2.22044604925031e-16	231.084132103379	2.22044604925031e-16	9.78684423198228	46.6587552049003	2.22044604925031e-16	2.22044604925031e-16	17.2868588808968	2.68828420425793	2.22044604925031e-16	6.2338809453234
