"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_624"	"Cell_624"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_626"	"Cell_626"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_628"	"Cell_628"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_631"	"Cell_631"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_636"	"Cell_636"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_637"	"Cell_637"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_64"	"Cell_64"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_641"	"Cell_641"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_643"	"Cell_643"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_648"	"Cell_648"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_65"	"Cell_65"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_657"	"Cell_657"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_660"	"Cell_660"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_663"	"Cell_663"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_664"	"Cell_664"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_665"	"Cell_665"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_671"	"Cell_671"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_673"	"Cell_673"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_683"	"Cell_683"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_685"	"Cell_685"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_687"	"Cell_687"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_689"	"Cell_689"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_695"	"Cell_695"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_699"	"Cell_699"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_70"	"Cell_70"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_701"	"Cell_701"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_702"	"Cell_702"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_71"	"Cell_71"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_713"	"Cell_713"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_714"	"Cell_714"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_715"	"Cell_715"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_722"	"Cell_722"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_724"	"Cell_724"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_725"	"Cell_725"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_728"	"Cell_728"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_732"	"Cell_732"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_734"	"Cell_734"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_735"	"Cell_735"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_739"	"Cell_739"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_742"	"Cell_742"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_746"	"Cell_746"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_751"	"Cell_751"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_754"	"Cell_754"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_755"	"Cell_755"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_757"	"Cell_757"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_758"	"Cell_758"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_759"	"Cell_759"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_766"	"Cell_766"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_77"	"Cell_77"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_781"	"Cell_781"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_782"	"Cell_782"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_783"	"Cell_783"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_793"	"Cell_793"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_795"	"Cell_795"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_796"	"Cell_796"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_798"	"Cell_798"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_8"	"Cell_8"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_80"	"Cell_80"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_800"	"Cell_800"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_803"	"Cell_803"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_806"	"Cell_806"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_817"	"Cell_817"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_821"	"Cell_821"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_823"	"Cell_823"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_829"	"Cell_829"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_83"	"Cell_83"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_831"	"Cell_831"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_833"	"Cell_833"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_835"	"Cell_835"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_837"	"Cell_837"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_838"	"Cell_838"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_840"	"Cell_840"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_843"	"Cell_843"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_844"	"Cell_844"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_847"	"Cell_847"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_848"	"Cell_848"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_849"	"Cell_849"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_852"	"Cell_852"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_856"	"Cell_856"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_860"	"Cell_860"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_861"	"Cell_861"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_862"	"Cell_862"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_863"	"Cell_863"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_868"	"Cell_868"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_873"	"Cell_873"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_874"	"Cell_874"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_875"	"Cell_875"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_88"	"Cell_88"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_893"	"Cell_893"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_897"	"Cell_897"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_9"	"Cell_9"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_90"	"Cell_90"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_903"	"Cell_903"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_906"	"Cell_906"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_907"	"Cell_907"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_91"	"Cell_91"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_912"	"Cell_912"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_914"	"Cell_914"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_915"	"Cell_915"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_921"	"Cell_921"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_926"	"Cell_926"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_927"	"Cell_927"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_930"	"Cell_930"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_933"	"Cell_933"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_938"	"Cell_938"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_939"	"Cell_939"	"S01"	"IS06"	"B.cells"	"Tumor"
