"ID"	"State"	"InitialState"
"Cell_646"	"S02"	"IS01"
"Cell_656"	"S02"	"IS01"
"Cell_668"	"S02"	"IS01"
"Cell_669"	"S02"	"IS01"
"Cell_679"	"S02"	"IS01"
"Cell_684"	"S02"	"IS01"
"Cell_690"	"S02"	"IS01"
"Cell_698"	"S02"	"IS01"
"Cell_700"	"S02"	"IS01"
"Cell_709"	"S02"	"IS01"
"Cell_720"	"S02"	"IS01"
"Cell_729"	"S02"	"IS01"
"Cell_744"	"S02"	"IS01"
"Cell_748"	"S02"	"IS01"
"Cell_749"	"S02"	"IS01"
"Cell_753"	"S02"	"IS01"
"Cell_756"	"S02"	"IS01"
"Cell_768"	"S02"	"IS01"
"Cell_773"	"S02"	"IS01"
"Cell_778"	"S02"	"IS01"
"Cell_780"	"S02"	"IS01"
"Cell_790"	"S02"	"IS01"
"Cell_802"	"S02"	"IS01"
"Cell_807"	"S02"	"IS01"
"Cell_813"	"S02"	"IS01"
"Cell_839"	"S02"	"IS01"
"Cell_857"	"S02"	"IS01"
"Cell_859"	"S02"	"IS01"
"Cell_865"	"S02"	"IS01"
"Cell_866"	"S02"	"IS01"
"Cell_876"	"S02"	"IS01"
"Cell_880"	"S02"	"IS01"
"Cell_887"	"S02"	"IS01"
"Cell_888"	"S02"	"IS01"
"Cell_889"	"S02"	"IS01"
"Cell_901"	"S02"	"IS01"
"Cell_909"	"S02"	"IS01"
"Cell_910"	"S02"	"IS01"
"Cell_911"	"S02"	"IS01"
"Cell_920"	"S02"	"IS01"
"Cell_928"	"S02"	"IS01"
"Cell_950"	"S02"	"IS01"
"Cell_956"	"S02"	"IS01"
"Cell_971"	"S02"	"IS01"
"Cell_972"	"S02"	"IS01"
"Cell_977"	"S02"	"IS01"
"Cell_984"	"S02"	"IS01"
"Cell_988"	"S02"	"IS01"
"Cell_990"	"S02"	"IS01"
"Cell_13"	"S03"	"IS03"
"Cell_18"	"S03"	"IS03"
"Cell_26"	"S03"	"IS03"
"Cell_44"	"S03"	"IS03"
"Cell_46"	"S03"	"IS03"
"Cell_48"	"S03"	"IS03"
"Cell_49"	"S03"	"IS03"
"Cell_69"	"S03"	"IS03"
"Cell_73"	"S03"	"IS03"
"Cell_75"	"S03"	"IS03"
"Cell_89"	"S03"	"IS03"
"Cell_94"	"S03"	"IS03"
"Cell_112"	"S03"	"IS03"
"Cell_121"	"S03"	"IS03"
"Cell_127"	"S03"	"IS03"
"Cell_128"	"S03"	"IS03"
"Cell_129"	"S03"	"IS03"
"Cell_141"	"S03"	"IS03"
"Cell_143"	"S03"	"IS03"
"Cell_151"	"S03"	"IS03"
"Cell_163"	"S03"	"IS03"
"Cell_170"	"S03"	"IS03"
"Cell_174"	"S03"	"IS03"
"Cell_179"	"S03"	"IS03"
"Cell_181"	"S03"	"IS03"
"Cell_187"	"S03"	"IS03"
"Cell_194"	"S03"	"IS03"
"Cell_197"	"S03"	"IS03"
"Cell_203"	"S03"	"IS03"
"Cell_212"	"S03"	"IS03"
"Cell_213"	"S03"	"IS03"
"Cell_218"	"S03"	"IS03"
"Cell_219"	"S03"	"IS03"
"Cell_224"	"S03"	"IS03"
"Cell_225"	"S03"	"IS03"
"Cell_231"	"S03"	"IS03"
"Cell_234"	"S03"	"IS03"
"Cell_236"	"S03"	"IS03"
"Cell_237"	"S03"	"IS03"
"Cell_249"	"S03"	"IS03"
"Cell_260"	"S03"	"IS03"
"Cell_264"	"S03"	"IS03"
"Cell_267"	"S03"	"IS03"
"Cell_272"	"S03"	"IS03"
"Cell_277"	"S03"	"IS03"
