"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"
"KMO"	"KMO"	1.21594005329509	0.00176495269537863	-0.0609948352394382	0.070142823501472	-0.0739859729143742	-0.315466271553138	-0.187738649627662	-0.173657806647609	0.13822094524007	-0.190742406043206	0.0778901885530665	-0.414765659665592	"IS01"	1.21594005329509
"CCL4L2"	"CCL4L2"	1.17813962042233	0.0599549142977368	-0.124435151493553	-0.025909377561585	0.20064996002006	-0.372441606904513	-0.145765034343832	-0.22243764235839	0.353578550540247	-0.184999838338655	-0.0267078640339493	-0.708783920827508	"IS01"	1.17813962042233
"IFFO1"	"IFFO1"	1.16902089047207	0.664766838305982	-0.286446893679711	-0.416678711963266	-0.195882895776136	-0.837643980626871	-0.280495927765231	0.156597806941979	0.778102494202136	-0.241347545150908	0.843489991968117	-0.742271759363948	"IS01"	1.16902089047207
"GCSAM"	"GCSAM"	1.16078699925415	-0.126202611285876	0.418025120334328	-0.262629477817192	-0.19725861598428	-0.319665451497057	-0.557442929907656	0.346425679563256	-0.122519064425902	-0.0439653648140246	0.0670352738130852	0.0941249455375845	"IS01"	1.16078699925415
"MMP25"	"MMP25"	1.15622220622416	0.0652862799713293	-0.0141261058620628	-0.304183807305841	0.0650092418520977	-0.318216529405746	-0.33968012175249	0.23946094052481	0.062112288483373	-0.0252579015799686	0.0684385978625063	-0.364114298055106	"IS01"	1.15622220622416
"ARHGEF6"	"ARHGEF6"	1.14882052277243	0.408607265685376	0.0970266428737539	-0.25487624829449	-0.318894627588129	-0.489987041944255	-0.617497916231879	-0.124102271802273	0.0932934353948572	-0.171646078878156	1.089738432906	-0.193485269731107	"IS01"	1.14882052277243
"FNBP1"	"FNBP1"	1.12852252014455	0.0334239916030571	0.470619841567712	-0.329400894644795	-0.112380268862893	-0.524509777408393	-0.89713543730662	-0.0125115837154685	0.13693611017538	-0.140207849883747	0.959335864853089	-0.305483945041391	"IS01"	1.12852252014455
"GNG2"	"GNG2"	1.09185437163689	0.14534192586057	-0.000887528854875995	-0.151869354941529	-0.147556341380847	-0.73764178540499	-0.508178113253135	-0.296873884119527	0.341556143374339	0.279609125829871	1.06917302650913	-0.542316636570049	"IS01"	1.09185437163689
"FCGR2A"	"FCGR2A"	1.07034324452607	0.102574099985976	0.0857861756169169	0.00278254831203093	0.20372904804197	-0.540333364054836	-0.479486249294225	-0.305529998882539	0.772082984117062	-0.30376180367762	0.215243785898033	-0.709155065615182	"IS01"	1.07034324452607
"TNFRSF8"	"TNFRSF8"	1.06748332743399	0.233444361078239	-0.203264139447258	-0.352704424379304	0.0767185093461896	-0.495909475134721	-0.13992940036088	-0.11992835236785	0.130916537697386	0.104668510165248	0.570415496614501	-0.495952235355574	"IS01"	1.06748332743399
