"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072805"	"MS2010072902"	"MS2010072925"	"MS2010072930"	"MS2010072004"	"MS2010072828"	"MS2010072835"	"MS2010072912"	"MS2010072937"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"MS2010072024"	"MS2010072037"	"MS2010072040"	"MS2010072834"	"MS2010072932"
"C13orf38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PTPN3"	3.75477986419052	6.60695684289897	6.09038695757312	5.276786311832	5.61085488918382	5.94283758476827	6.22037191148097	3.53718057071855	6.88205738649339	5.75156327002018	6.16066751344464	5.24092046834756	5.34126269051757	3.56734155865718	4.41718130237461	5.74937033145314	5.62168842768758
"CD226"	8.20960490122404	7.11962138001371	8.63974563827868	8.4045771486584	8.36044926924772	6.87054690303861	7.63418466267228	8.10943361562821	7.14884335656748	6.03868859392789	5.59065833035933	6.51682968863685	4.71806331000733	7.06650958658837	6.55191280484837	5.38380464983504	5.49213015733982
"SMOC1"	4.67560264541033	4.59817394274687	3.82184849545978	4.58682803419584	4.58413786187399	6.61782479223088	4.3385422188575	3.93774408533067	6.43401187470468	3.50748102205613	4.6400287374091	6.44034368852615	5.60193212572113	3.6482477597981	4.15432525034555	5.55826521750271	3.41672625019817
"NCOA2"	7.55745985947243	7.84385820383452	7.17224209306249	7.8404065493134	7.47781645042703	9.01694273403782	7.6159599004628	7.83235041622346	7.81704057932058	6.72000358323618	7.24381911986507	6.47335989846406	7.15066361450125	6.9851055089395	7.28431485138871	7.42049270670358	7.14704412874254
"C1orf27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR10G7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAMTS3"	6.81087457508948	7.42624922090633	6.8426983614164	7.84747842115628	6.22979725603902	6.99278582358567	7.95848270026814	5.57712465489457	5.96247071240284	5.19737442491058	5.61971283697738	7.05271117777718	6.13247010690804	5.63548995665834	5.3963984838188	5.04968895171966	6.49809849038531
"LONRF2"	7.35480445960253	6.23298410640975	4.73284742188193	6.50624460413908	5.82658709937038	6.52473638288807	4.62675234818898	5.35373796863938	5.79701399397183	4.40390552657372	5.30446530641872	5.08487526112161	2.87703313190057	5.10581635285125	4.19116018265404	4.737004941698	5.80973109337601
"LOC151760"	3.77063094655976	2.59991853690871	4.88086776737238	2.37855904270768	3.4428470172202	8.06488922450023	2.31081589584223	1.77757828796061	2.80404270062964	2.39762548304947	3.23802611060131	2.54753335521373	2.63241453903969	2.52916545266931	2.59012733671802	1.56642500102637	3.71829773646505
"NSBP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C10orf90"	4.36301930083287	3.40327809968262	5.00891369914513	3.44538817650122	3.36216456450781	7.48127706091056	2.34403018607016	3.14081260890384	3.98001924367216	4.06976541884763	2.08857175152049	5.4272259370229	5.76448181722103	4.34880336004326	4.83365231649836	5.2246070515685	4.53932243780201
"SLC25A21"	4.71074309883215	6.78945903917715	4.88149418978677	6.0040414893662	3.89016425677577	7.99923543460784	2.99118422579072	3.66407203283256	4.48197609534252	4.70583127377341	5.05343817449317	7.50264102719234	4.68403852907233	3.17858335542506	0.75028354410895	5.00008268490536	6.023636824047
"FAM157B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SPERT"	2.7580637179337	6.28519666201919	5.63844979332721	4.62379900456673	2.73128210068767	7.69241068734471	4.79597102295911	5.09962991882638	3.70138557065321	2.70234513483659	4.85259109013773	2.03167300880639	3.0778959103293	5.88810840612332	4.20149496039865	5.11522415227943	3.36362359014247
"SAMD12"	5.91718461974148	6.35710534147963	1.62858061899024	6.26868678148705	6.1489300446258	6.79132863298039	4.07877731944247	7.14460247524175	3.99116099313914	5.61064196385354	5.96427759844435	2.84406690330579	1.89953527145909	5.59271161125117	6.7542059831159	1.83893290857543	6.00994901857123
