"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"MAGEB10"	"MAGEB10"	-0.393080716613484
"GAPDHS"	"GAPDHS"	-0.463954169174168
"GMFG"	"GMFG"	-1.4932315427096
"DCANP1"	"DCANP1"	-0.505019906623337
"OR5F1"	"OR5F1"	0
"ITGAL"	"ITGAL"	0.789529189333546
"CD1C"	"CD1C"	1.08132609706403
"TRPC7"	"TRPC7"	-0.408300635605531
"RASGRP2"	"RASGRP2"	1.69053152524856
"VCY1B"	"VCY1B"	-0.171896619627977
"CD5"	"CD5"	-0.0626982284075658
"GPRIN3"	"GPRIN3"	-1.07904052953162
"PPP1R16B"	"PPP1R16B"	0.284895936887291
"PCDH11X"	"PCDH11X"	0.0583158788093844
"ARHGAP9"	"ARHGAP9"	-0.369707844498577
"GNG13"	"GNG13"	-0.185422700601854
"CORO1A"	"CORO1A"	0.0169121189420108
"ZPR1"	"ZPR1"	-0.252791246259356
"OR10T2"	"OR10T2"	-0.0626544085824237
"KRT73"	"KRT73"	-0.0824799845704733
"KLF18"	"KLF18"	-0.131460597296623
"CD33"	"CD33"	1.03932677881673
"LY9"	"LY9"	1.57574828056779
"BTK"	"BTK"	1.10951409143652
"KCNN3"	"KCNN3"	0.126322125812211
"XCR1"	"XCR1"	-0.425372166801438
"FAM163A"	"FAM163A"	-0.328408529164086
"CLEC4C"	"CLEC4C"	0.976208427527687
"TUBD1"	"TUBD1"	-0.268109733515482
