"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"SLAMF1"	"SLAMF1"	0.0648110912941078	-0.0968896729346756	-0.0907532155438931	-0.20272572917892	-0.283112803464409	0.116541560634409	1.66407486361824	0.0448666623341527	1.05675376592303	-0.305092027848534	-1.08141967477854	0.24980245212721	-0.238895916575999	-0.0461793700476149	"S01"	1.66407486361824	"IS07"
"P2RY8"	"P2RY8"	-0.0374012050097875	-0.102436083296022	-0.244178334312669	-0.224609808020702	0.114998189266969	0.0807126267029929	1.65714766671566	0.109952430571752	0.650947687479288	-0.483869394888002	-0.770604750403748	0.210039151370047	-0.121450045839528	0.0257360013298326	"S01"	1.65714766671566	"IS07"
"CD180"	"CD180"	-0.0453033945746551	0.00643402839698632	-0.154531781850087	-0.226422926938432	-0.22306144739654	0.0440638523024029	1.63860373532452	-0.0251247984265032	0.867399681607062	-0.362335175162371	-0.839320372143687	0.279589168787493	-0.221621940852363	-0.15562833365393	"S01"	1.63860373532452	"IS07"
"SLAMF7"	"SLAMF7"	0.123717406164099	-0.0992059431741436	-0.00964287668157468	-0.209361837458781	-0.241108232635948	0.0539486828977382	1.61973294366155	-0.10487329100538	1.11108260387257	-0.180397681999217	-1.04035433892865	0.0230568406228686	-0.188391666132968	-0.124055952725191	"S01"	1.61973294366155	"IS07"
"RP11.812E19.9"	"RP11.812E19.9"	0.166673576281501	0.0156955133007508	-0.169334617454592	-0.141871721517151	-0.156715410551468	0.178093972314122	1.59015777401452	-0.0750445887415924	0.133891551056657	-0.165254235537666	-0.652179583070628	-0.0300306019651952	-0.0805978370961984	-0.0991504922379781	"S01"	1.59015777401452	"IS07"
"JCHAIN"	"JCHAIN"	0.478774862819966	-0.214525172834226	-0.0972779921529437	-0.262258938018869	-0.320585832215787	0.450397856634562	1.58906696862427	0.550977290905898	0.272725291150598	-0.185910983817178	-0.911407886020991	0.0272603511648415	-0.254960279724047	-0.197032216735634	"S01"	1.58906696862427	"IS07"
"DERL3"	"DERL3"	0.0583731286169226	0.050049228275182	-0.266762733311193	-0.0146575686996925	-0.106622009219562	0.322130117296791	1.58391859216964	-0.273298292392461	0.231466689467062	0.00448736318112629	-0.945135110326623	0.107616988609587	-0.0326073682644186	-0.0354430477742224	"S01"	1.58391859216964	"IS07"
"SIT1"	"SIT1"	-0.0247528835701428	-0.101841851373743	-0.195715890219102	-0.193987811444342	-0.130390810131211	0.000910998420371137	1.55559706880664	-0.164424536954973	1.01549303307091	-0.146780975058123	-0.871750118129455	0.00367831949027728	-0.257000697888094	-0.124112267547645	"S01"	1.55559706880664	"IS07"
"BFSP2"	"BFSP2"	0.120283065443371	0.205465381229358	-0.257844031659702	-0.0908445175539496	0.0389872187912437	0.123094691394003	1.50607527429247	-0.253328442823414	0.292703669912716	-0.0688580908170435	-0.753389147097915	-0.0857993819305806	-0.0866107650088254	0.0173311594126781	"S01"	1.50607527429247	"IS07"
"P2RY10"	"P2RY10"	0.06457804737238	-0.165820593740208	-0.00399355967385032	-0.267205992061126	-0.218252149014787	0.0678493221132698	1.49176810158236	-0.0557313295425451	0.987826917180905	-0.312180120149339	-0.896295829319532	0.243159969369913	-0.197385691045322	-0.0961258049145924	"S01"	1.49176810158236	"IS07"
"P2RX1"	"P2RX1"	0.272379150325383	-0.190582158784533	-0.15501649356803	-0.251667476609919	-0.126851965919116	0.128644799724187	1.4737778870049	0.435167038087126	0.314598620866365	-0.383743324726357	-0.81497307147076	0.402899211280346	-0.314633270352484	0.0351137382624021	"S01"	1.4737778870049	"IS07"
"KCNN3"	"KCNN3"	0.00880225069981614	0.0954236440429751	-0.329935906899544	-0.0756812338367848	0.342077181086249	0.151001396096505	1.46607712601085	0.280984391562767	0.23498974656862	-0.459817338331747	-0.812104070810555	0.496962314440656	-0.0305605444912501	-0.108675352304256	"S01"	1.46607712601085	"IS07"
"AMPD1"	"AMPD1"	0.339402168793302	-0.0765612027844595	-0.132517472573999	-0.271120445285493	-0.224386939923194	0.227810050881316	1.44278506913533	0.641926700547904	0.127677583136618	-0.264532748092655	-0.805419274771552	0.216557349377686	-0.258805135570928	-0.093609545669585	"S01"	1.44278506913533	"IS07"
"ADORA2A"	"ADORA2A"	0.150254096350027	-0.120637513629163	-0.230592536608632	-0.0752388204314999	0.145389441305773	0.0727406653091198	1.38217151532256	-0.0716738545878152	0.666288898639469	-0.549476780485927	-0.687450975075712	0.155183706040686	-0.0473485847409097	0.35450977959451	"S01"	1.38217151532256	"IS07"
"PTPN7"	"PTPN7"	-0.117325917580486	0.114946124274347	-0.102540364220013	-0.0493748992813094	-0.176238953617241	-0.056110749993313	1.27146509923307	-0.199964074214592	0.921833359820348	-0.256274129353737	-0.73142181655815	0.0714557609922854	-0.20148093582207	0.0953793832143323	"S01"	1.27146509923307	"IS07"
"ANGPTL6"	"ANGPTL6"	0.149154420505017	0.130987385603435	-0.272770434957367	-0.0824548233065954	0.0235535657038171	0.197335339417215	1.270508539367	-0.361836028800241	0.429816395098738	-0.330997910850074	-0.465116473161505	0.035737726025012	-0.164808691508193	0.127655696211968	"S01"	1.270508539367	"IS07"
"KLRB1"	"KLRB1"	0.215535893174815	-0.16742647942186	-0.0408700683145336	-0.310664006424955	-0.277264358488781	0.164427649930352	1.23386605393764	0.381988403067849	0.790751869857142	-0.157362289466085	-0.884479598152752	0.178468978509453	-0.310943449465602	-0.198066218993477	"S01"	1.23386605393764	"IS07"
"CCR2"	"CCR2"	0.0566715080309918	-0.0765474017938328	-0.0837167651404632	-0.246522376941416	-0.205401626428819	0.0327028088952883	1.23345935969736	0.155527447122926	0.914918188577442	-0.299612646841043	-0.806318098909234	0.316289354651701	-0.203881797557	-0.171966606678537	"S01"	1.23345935969736	"IS07"
"SH2D1A"	"SH2D1A"	-0.131085442291475	-0.0541363209649297	-0.103772030229484	-0.255798550242739	-0.150255040754555	-0.100370880339244	1.20523086003206	-0.0786178627273093	0.952279250179959	-0.173522242047556	-0.678452995166405	0.0585617946919462	-0.133020649627427	-0.137652888827906	"S01"	1.20523086003206	"IS07"
"GPR15"	"GPR15"	0.390588696305258	-0.116107804983616	0.0421672904484684	-0.165498653375476	-0.0470972422768437	0.0704988901760711	1.17922960486849	0.291225717473653	0.200614160606576	-0.291448991043135	-0.489936554207215	-0.0173863770382574	-0.194224331404824	-0.130577126721895	"S01"	1.17922960486849	"IS07"
"SEPT6"	"SEPT6"	-0.180330438895954	0.0508561070261878	-0.248733002606514	0.0123240522180267	0.322993049466085	-0.0208257683638454	1.1757287912405	-0.288833690011339	0.631329674384009	-0.398057560583708	-0.443448128539234	0.0512972800844709	0.00642245342234853	-0.00362540301108698	"S01"	1.1757287912405	"IS07"
"PIK3CG"	"PIK3CG"	0.0684200363649898	-0.145483263150677	-0.0494143441142382	-0.227751792626671	-0.111714202660326	0.0125290505656759	1.11413893103933	0.35510899201602	1.0543260539956	-0.53142042160827	-0.808701258442883	0.437058559290964	-0.111133744422813	-0.0349557455739802	"S01"	1.11413893103933	"IS07"
"DOK3"	"DOK3"	-0.221645077101386	-0.0141882259978973	-0.202536987232785	-0.124559940839037	0.00022879029194989	-0.0337322627732989	1.10802609562175	-0.200024986351663	0.991376344483419	-0.356259782934575	-0.608381420800644	0.165293765209445	-0.122130495741116	0.121359359230791	"S01"	1.10802609562175	"IS07"
"GPR25"	"GPR25"	-0.00516386110488522	0.00073647614340043	-0.0628293742309205	-0.173310330606722	-0.122669222290306	0.276354581974936	1.08022841389214	-0.0229311226275053	0.884739593468761	-0.0664505276363917	-0.716940333169799	-0.206073951819937	-0.310132888002028	0.0381807893234645	"S01"	1.08022841389214	"IS07"
"C16orf54"	"C16orf54"	0.0796543685369252	-0.13353742990923	-0.0870647876745316	-0.206862916023667	-0.134514066515408	0.311495915789656	1.07180973889787	0.273229592363335	0.725802221032345	-0.299158395592988	-0.733653897673876	0.136620092632262	-0.201341301025368	0.0571895414775278	"S01"	1.07180973889787	"IS07"
"IL10RA"	"IL10RA"	-0.0274525270083599	-0.0966003801942637	-0.146096214915799	-0.265893683042529	-0.244140172649542	0.0368308880412753	1.02501946468716	0.0611711074133271	1.01002043722862	-0.296491706655061	-0.615301314782716	0.133209190202287	-0.136814160250332	-0.04570632874407	"S01"	1.02501946468716	"IS07"
