"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"
"TSPY2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	256.757554225078
"LAIR1__pos"	11.6227238472633	2.22044604925031e-16	226.763054905361	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	5.97323415861389	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	8.32316667818203
"TSHZ2__pos"	3.57951471578023	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	193.031583122553	2.22044604925031e-16
"CXCL9__pos"	22.1911796152498	1.87570512013928e-10	2.22044604925031e-16	2.22044604925031e-16	204.69492039132	0.206764864848276	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"TIGIT__pos"	79.0042874822751	42.8448822701795	3.20348073544483	2.22044604925031e-16	57.7058581379023	18.2991182490652	2.22044604925031e-16	3.50489011445247	0.094416538984906	14.8218000751413	2.22044604925031e-16	2.89574439685469
"AL133475.1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	90.3722744951135	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"GZMH__pos"	13.1937080053316	12.7682422293457	2.22044604925031e-16	2.22044604925031e-16	112.109069216029	93.652913975955	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CT47A1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	157.992082995548
"DDX10__pos"	2.22044604925031e-16	0.000872818652813497	2.22044604925031e-16	2.34610194811673	2.22044604925031e-16	2.22044604925031e-16	8.86510025791929	229.976717713022	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.59204198743388
"SIRPG__pos"	89.5103589312595	23.2217630255032	2.22044604925031e-16	2.22044604925031e-16	93.5450214224768	17.7832763645932	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PDCD1__pos"	75.8956036262505	13.9967717436228	2.22044604925031e-16	18.9271867269652	107.25168011615	22.5591887739512	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PTPRCAP__pos"	102.131947118423	52.135628205908	2.22044604925031e-16	2.22044604925031e-16	28.1104860040297	22.0646291529403	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"DNTT__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	216.02642197406	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CST7__pos"	35.4765106307828	59.7673125575417	30.7973024675285	2.22044604925031e-16	18.2958302886803	50.0235072373971	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	29.7673935629085	7.33538443741518	2.22044604925031e-16
"CXCR3__pos"	58.8218973946182	50.5930627901043	3.62147106180419e-05	1.32889455030065e-12	46.0892882118569	21.5618980647378	2.22044604925031e-16	1.97639955582832	2.22044604925031e-16	36.228378804635	2.22044604925031e-16	6.44395173833775
"EOMES__pos"	89.1048001772936	2.22044604925031e-16	2.22044604925031e-16	6.20235359093474	49.1560007626948	81.6037279187701	2.22044604925031e-16	1.75295460773063	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.54500408424584
"KLRB1__pos"	58.7704593758095	38.5754181798876	10.663094525832	2.22044604925031e-16	2.22044604925031e-16	60.7311176004862	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	14.6560263055451	44.2158176544198	2.22044604925031e-16
"FCGR1A__pos"	2.22044604925031e-16	28.2584974332822	169.787694238205	2.22044604925031e-16	43.8716002083549	4.57439120895233e-11	2.22044604925031e-16	8.59542513976732	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.55324040022151
"MFRP__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	217.822797927845	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PYHIN1__pos"	75.0933907462267	0.000278807181827498	12.5044432073972	3.27369537986821e-13	7.55927296622998	44.3517582552392	9.10401691913497e-06	4.87617525384266	27.8689922661877	51.6392897721913	15.9218017841725	2.22044604925031e-16
"KLRC4__pos"	18.4885157564715	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	228.209170304465	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"OR5H14__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	148.333955957227
"WAS__pos"	2.22044604925031e-16	71.3952175950196	7.72409779930348	0.189936015266053	1.72414633901571	23.2319890639548	52.4628280380799	31.2788862894699	12.6189187146195	2.22044604925031e-16	2.22044604925031e-16	1.86192911472061
"THEMIS__pos"	67.1473810250948	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.72394490218469e-16	124.989565985387	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	25.2219386906803	2.22044604925031e-16	2.22044604925031e-16
"CCL3__pos"	7.63170266553327	35.7324953893713	2.22044604925031e-16	2.22044604925031e-16	1.21055257691533e-10	10.9546926775849	54.4494968888254	16.6155673628089	14.6880926066275	19.8115052233083	41.4419985744741	0.228983883371379
"FCRL6__pos"	30.2207342594895	2.22044604925031e-16	28.2483562129448	2.22044604925031e-16	21.8671059217516	74.8125933683166	2.22044604925031e-16	2.22044604925031e-16	13.7980829053313	15.6967871226398	86.6937103799929	2.22044604925031e-16
"TIMD4__pos"	61.8603502532707	48.6461751189439	93.1209918206157	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.63985790634163e-14	3.94306083480797	2.22044604925031e-16	2.19821640082512e-11	5.24561539323464
"IKZF1__pos"	46.0052879303353	2.22044604925031e-16	31.2637213742892	6.65068834078276	2.7121652169204e-08	3.08453538770191e-08	8.22668138758392	0.00544660172198097	7.48191771789854	117.455447514534	2.22044604925031e-16	1.64095283088053
"CD2__pos"	51.2412617304557	58.8480816958423	0.0611419835717239	2.22044604925031e-16	44.7416028665853	46.2538622530634	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	25.1982975274232	2.22044604925031e-16	2.22044604925031e-16
"SLAMF1__pos"	103.598401673693	2.22044604925031e-16	6.95947747316168	2.22044604925031e-16	0.00541888766929469	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	69.4187486803239	2.22044604925031e-16	1.76808978457511
"FAM78A__pos"	25.2855021454554	2.22044604925031e-16	2.22044604925031e-16	28.9958940032915	2.22044604925031e-16	2.22044604925031e-16	7.22802973343846	0.000272355825684195	11.4782709919983	157.769967576755	2.22044604925031e-16	1.90443579146339
