"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"CCDC109A"	"CCDC109A"	0.691779688261695	-0.691094201469675	-0.042307919581894	0.183154843755958	-0.488763196730614	0.235243760409198	"IS01"	0.691779688261695
"TREM2"	"TREM2"	0.687189116793178	-0.0923288509777385	-0.741289384579417	0.621371449514869	0.470846786259074	-0.686729374987729	"IS01"	0.687189116793178
"KLF11"	"KLF11"	0.683650448707386	-0.375944193788157	-0.342184403174374	0.402700104589059	-0.965406418337399	0.513008690855404	"IS01"	0.683650448707386
"CAMKK2"	"CAMKK2"	0.680814754344873	0.17369719787881	-0.0346288172293873	-0.166778427694365	-0.705290288202856	0.0486783638637253	"IS01"	0.680814754344873
"TBC1D9"	"TBC1D9"	0.679437102202835	-0.371512698828525	-0.456971566390323	0.503181243355878	-0.531588146337868	0.181905443772808	"IS01"	0.679437102202835
"LOC100286998"	"LOC100286998"	0.675214366513528	-0.170935927705032	-0.691738573136438	0.315238398955021	0.615040608403521	-0.49103223301432	"IS01"	0.675214366513528
"LOC732229"	"LOC732229"	0.673324004278647	-0.488224361291431	-0.427874139259328	0.466665945037287	-0.714405897744859	0.439138907305129	"IS01"	0.673324004278647
"OXNAD1"	"OXNAD1"	0.672593015046217	0.277752648191606	0.191875969696162	-0.427066891755668	-0.490753194041432	-0.215141479149303	"IS01"	0.672593015046217
"ALDH1B1"	"ALDH1B1"	0.672390661691165	-0.517083754130514	0.016777034431094	-0.0717404705634597	-0.311803734334205	0.141610271775243	"IS01"	0.672390661691165
"LOC643072"	"LOC643072"	0.624058580901108	-0.308207456818398	-0.683905722714053	0.548327668339139	0.106853695046141	-0.142000213149769	"IS01"	0.624058580901108
"DPY19L1"	"DPY19L1"	0.623859101287546	-0.841880382334383	-0.0499374887770201	-0.126998744880173	0.0458056984897747	0.281097045011262	"IS01"	0.623859101287546
"FXYD6"	"FXYD6"	0.622697319693198	0.221756065682451	-0.460733013706988	0.486223856748193	-0.74918448496081	-0.0515314099545662	"IS01"	0.622697319693198
"LOC400831"	"LOC400831"	0.607865566914495	-0.125912583928012	-0.162457084200338	0.223724374935478	-0.214841597616709	-0.287025946356259	"IS01"	0.607865566914495
"CCRN4L"	"CCRN4L"	0.600433102751447	-0.251936665021189	0.156275988126494	-0.298028361642848	-0.762999750300408	0.427697722417341	"IS01"	0.600433102751447
"FAM49A"	"FAM49A"	0.59914132011294	-0.342108352978451	-0.396686157843659	0.422281160930408	0.0300080633463249	-0.233086303413618	"IS01"	0.59914132011294
"SRXN1"	"SRXN1"	0.597239607059659	-0.794481377531187	-0.435267739728929	0.414071819760167	0.0918851062420721	0.140364253473768	"IS01"	0.597239607059659
"RFX2"	"RFX2"	0.596093958380193	0.111258935506623	-0.295155016529742	0.366815156211978	-0.746582761306766	-0.0123301423423627	"IS01"	0.596093958380193
"GAS2L3"	"GAS2L3"	0.579253394309218	-0.95102648220637	-0.564694743186724	0.53160849083393	-0.204415938323093	0.56734692012142	"IS01"	0.579253394309218
"ZNF185"	"ZNF185"	0.567103686907312	-0.0701347161924503	-0.0592948849879875	-0.154275988470446	-0.266694914383851	-0.00274936441126006	"IS01"	0.567103686907312
"SPATS1"	"SPATS1"	0.564030344935219	-0.0775518204063679	-0.313615174068425	0.094468644338088	0.234536796054959	-0.366707925480151	"IS01"	0.564030344935219
"METTL6"	"METTL6"	0.56383629873953	0.318135065039569	-0.377368006715046	0.528166282724683	-0.52757753911462	-0.400955630483562	"IS01"	0.56383629873953
"PDK3"	"PDK3"	0.55797365339767	-0.245943819169309	-0.0823400418594716	-0.158254998442616	0.30014132392053	-0.29630038144585	"IS01"	0.55797365339767
"LOC100289240"	"LOC100289240"	0.555983489100542	0.0486585258758391	-0.266137721399592	0.305059957259751	-0.506727194062559	-0.0998994823312168	"IS01"	0.555983489100542
"ETV5"	"ETV5"	0.54707765178576	-0.233078329466613	-0.250389817558856	0.272538128896256	-0.2336589410569	-0.0763187695295029	"IS01"	0.54707765178576
"VNN1"	"VNN1"	0.539817240664902	-0.505904913855634	-0.504189447778518	0.294701449735501	0.433345886146321	-0.137608809437621	"IS01"	0.539817240664902
"SRD5A1"	"SRD5A1"	0.534049895678207	-0.0475656517057698	0.137877817285388	0.0328326242210911	-1.10382752167681	0.303637275657339	"IS01"	0.534049895678207
"B3GNT2"	"B3GNT2"	0.521787923895544	-0.916458502014154	-0.421424170555299	0.405579728654792	0.512014160693823	-0.0531389119704226	"IS01"	0.521787923895544
"TPPP"	"TPPP"	0.513611090481334	0.257060657084736	-0.143261365468731	0.172133430902576	-1.28264091011544	0.407467983945927	"IS01"	0.513611090481334
"IL23R"	"IL23R"	0.51188661914723	-0.381214566386645	-0.264014280360991	0.190424629499238	0.370666688327994	-0.335638164457694	"IS01"	0.51188661914723
"TMEFF1"	"TMEFF1"	0.510131532487235	-0.68383826046929	0.179079981839186	-0.11363530264759	0.132587516038626	-0.0957652977689779	"IS01"	0.510131532487235
"HDGFRP3"	"HDGFRP3"	0.498916988927771	-0.525616187213878	-0.177950767049703	0.169140971058434	-0.0223356297538588	0.0470539142327495	"IS01"	0.498916988927771
"MOBP"	"MOBP"	0.491994232030112	0.141795602023088	-0.232991552605387	-0.0326799394777639	-0.0790668837727077	-0.187831905790152	"IS01"	0.491994232030112
"CX3CL1"	"CX3CL1"	0.491569979760856	0.223843829893761	-0.33826309707598	0.324918812879935	-0.928832409059614	0.231078029021813	"IS01"	0.491569979760856
"TM4SF19"	"TM4SF19"	0.491351961001027	0.0151031714372354	-0.339384756945999	0.308185763141097	-0.276264419123718	-0.127996285795031	"IS01"	0.491351961001027
"DIRC3"	"DIRC3"	0.491127565183356	0.139553110249808	-0.312504187986991	0.390664040129218	-0.349060507468619	-0.279981297007931	"IS01"	0.491127565183356
