"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"
"GCNT3"	"GCNT3"	0.897406839828361	-0.284503619542955	-0.231124043481795	-0.206447269067317	0.360027212324892	-0.102870997062907	-0.169540470244014	-0.0477956861768959	"IS01"	0.897406839828361
"CREB3L1"	"CREB3L1"	0.891013020347698	-0.157744386636366	-0.240439753746035	-0.0182424350334607	-0.407580591858215	-0.292420374042797	0.446001857630713	-0.171387712692589	"IS01"	0.891013020347698
"B3GNT3"	"B3GNT3"	0.874975135347693	-0.0699465427248835	-0.495459347954431	-0.484374900638514	0.23911532955221	-0.211211679019575	0.196582348247806	0.15769651080021	"IS01"	0.874975135347693
"MUC5B"	"MUC5B"	0.871171605081198	-0.128429002826085	-0.275560931418549	-0.152720266554931	0.0931519104430123	-0.159671502661668	-0.0674856328638607	0.00319354686411764	"IS01"	0.871171605081198
"GJB1"	"GJB1"	0.859418648599186	-0.0886849304603316	0.110309003491403	0.0545055107308783	-0.448593259516375	0.065738056339787	-0.295173227203936	-0.237734244868672	"IS01"	0.859418648599186
"TRIM31"	"TRIM31"	0.857210244653209	-0.104423538516203	-0.191246226860208	-0.160584673451518	0.0188215334384223	-0.161418507592693	-0.171834646763524	0.0997034607995415	"IS01"	0.857210244653209
"ATP1B1"	"ATP1B1"	0.838969358917317	-0.59214857111026	-0.0251506465378355	-0.182522133838984	0.233456002172812	-0.162985033395325	0.178400211260344	-0.174712121987296	"IS01"	0.838969358917317
"TMPRSS2"	"TMPRSS2"	0.835189694150398	-0.396702404508192	-0.139477016808993	0.481158317623588	-0.113948295159642	-0.168821526713874	-0.217667792344994	-0.121868107976174	"IS01"	0.835189694150398
"NAT1"	"NAT1"	0.828877789206784	-0.34039345689652	0.0255470331077143	0.0324456381316219	-0.281748732777867	-0.181149319288642	-0.0213094906828765	0.0263724381063923	"IS01"	0.828877789206784
"CAPN13"	"CAPN13"	0.825786043206813	-0.250021664190904	0.108229123825722	-0.0300018981610279	-0.213237068600667	-0.167789303555957	0.0802184717047715	-0.305379134790881	"IS01"	0.825786043206813
