"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"
"RARRES1__pos"	38.2675812729008	1.04767108352674	2.22044604925031e-16	22.780444885804	24.5451211130333	2.22044604925031e-16	18.8560342270089	56.7115519003374
"LGALS1__pos"	2.22044604925031e-16	35.5574566724721	2.22044604925031e-16	13.6776320547244	0.450088931032888	2.22044604925031e-16	91.3243431949805	1.32067625342392e-15
"S100A1__pos"	12.8425066957668	49.2132865936023	11.7851037289657	21.3932009615915	8.77794117649067	4.05196212488353e-11	15.2357754820962	3.98226801465484
"RPS4Y1__pos"	25.3751424164924	17.6180654843198	19.4448288398596	14.6309484384045	3.5530862009288	21.5675860335071	20.6805616782982	3.22367462431641
"MSN__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	30.5156828448193	15.1215806741206	2.22044604925031e-16	67.7092868066518	34.023219752555
"ICAM1__pos"	3.52819267960145	0.393329726226093	2.22044604925031e-16	15.4941120482439	0.20532563078293	2.22044604925031e-16	62.998849365441	88.5045404883931
"IL6ST__pos"	29.490071157088	2.22044604925031e-16	7.69288867396075	64.2185526579817	2.22044604925031e-16	2.22044604925031e-16	47.4400921226658	7.00485644284724
"HOPX__pos"	14.721906421661	10.4261993053284	3.22942451220351e-12	38.1656489533327	30.5748193257224	8.27005619307493	44.8596824277573	4.49234066491116
"LCP1__pos"	9.00618541292476	2.22044604925031e-16	7.83767561738921	28.3990972412209	7.66458166313395e-16	1.08092559084581e-15	26.18586910038	99.7221547414031
"KRT14__pos"	2.22044604925031e-16	3.16549403952038	2.22044604925031e-16	2.05820740046858	104.679859917787	2.22044604925031e-16	5.60950745209775	2.22044604925031e-16
"LTF__pos"	51.4120724221647	7.28244719518557	2.22044604925031e-16	38.8767573514501	14.4730276072783	2.22044604925031e-16	1.28843705380577	38.0135835395134
"S100A7__pos"	1.01971890580132	5.0097850808849	2.22044604925031e-16	2.22044604925031e-16	88.9678379026976	2.22044604925031e-16	4.11124335905607	11.2207168549276
"KRT16__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	116.553084347098	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CYBRD1__pos"	17.3190515810999	2.22044604925031e-16	13.444390638704	80.4445659107116	0.69500158363047	2.22044604925031e-16	44.7420866285322	2.22044604925031e-16
"AGR3__pos"	118.244252120115	6.80915352355342	4.02798742613957	10.1579927028318	2.22044604925031e-16	2.41290882052496	2.22044604925031e-16	2.22044604925031e-16
"SERPINE1__pos"	0.582824321505551	1.46184759750793	1.79670715062275	18.9327380670449	13.5522163635502	0.520260090766891	116.82087933222	6.68583570438136
"SPRR1B__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	105.36650463249	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RAB31__pos"	2.22044604925031e-16	2.22044604925031e-16	1.18226583687126	13.6280226568226	11.5580191913449	2.18901779577166	110.997303249266	15.2428173007485
"SPDEF__pos"	112.899680027081	18.1267942567619	2.22044604925031e-16	2.22044604925031e-16	0.524493491038271	2.22044604925031e-16	2.2301814473207	2.22044604925031e-16
"SFTA2__pos"	68.3793478766966	32.0282159756578	2.22044604925031e-16	10.4412763514794	12.0719199264577	2.22044604925031e-16	4.31989630931189	2.22044604925031e-16
"FOSB__pos"	23.2941580125339	5.00020008274817	2.22044604925031e-16	100.318326503027	23.1901283755829	0.703311781136556	15.0819226680365	2.22044604925031e-16
"TNNT1__pos"	2.86016089607651	40.8652489135778	22.1078106245213	2.22044604925031e-16	19.0195216654865	7.53936503936343	53.3480043995339	1.30391701610758
"VAMP5__pos"	1.04698630700397	39.967805152092	2.22044604925031e-16	46.590795633467	2.4275089049074	2.22044604925031e-16	24.0591225578569	52.5953861928044
"AC234582.1__pos"	107.246550254873	2.22044604925031e-16	2.22044604925031e-16	0.127646356283913	3.81016023596337	2.22044604925031e-16	18.0747901372718	16.0871816247216
"FSTL1__pos"	1.05918719784502e-05	2.22044604925031e-16	15.55411802632	37.6106708087738	2.22044604925031e-16	2.22044604925031e-16	93.3365514615455	0.65850910103769
"KRT6C__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	97.2122468522245	2.22044604925031e-16	0.0970964666196203	2.22044604925031e-16
"CPVL__pos"	5.65030601032001	9.15801389762132	12.0916749345484	52.1766904296528	4.93188812526593	2.22044604925031e-16	21.8167148687158	61.9213528997848
"LY6D__pos"	2.22044604925031e-16	4.37001478451661	2.22044604925031e-16	2.22044604925031e-16	114.27006180437	2.22044604925031e-16	1.37763012405059	0.554165955743058
"CXCR4__pos"	10.6307343398179	2.20248957943911	15.1611401240451	34.5830928700964	2.22044604925031e-16	2.22044604925031e-16	29.1143457267762	75.4610101777724
"CXCL17__pos"	85.3751302159344	16.2902726203552	2.22044604925031e-16	1.32313973965402	29.7712848096043	2.22044604925031e-16	2.22044604925031e-16	16.0571631059881
"PPP1R1B__pos"	92.9746540930428	31.8747877317806	6.27222504327767	10.5364001133049	3.59978262753052	4.24963425155538e-05	2.22044604925031e-16	2.22044604925031e-16
"GPX2__pos"	35.8224827647309	0.290986362956446	28.0396203036217	2.22044604925031e-16	51.712443686701	8.4652916343469	2.22044604925031e-16	2.22044604925031e-16
"LSP1__pos"	5.07281138661778	4.50889885988489	2.22044604925031e-16	42.93195201624	8.82664956876045	2.22044604925031e-16	26.984669563679	84.1898338788182
"GATA3__pos"	30.4144015879268	8.00039424347469	25.4721093046846	8.76047883419523	7.5476835293944	0.0932130550850835	46.9512274913749	13.1765377950334
"CEACAM5__pos"	103.531026251878	2.22044604925031e-16	3.35219072585812	2.22044604925031e-16	13.561650137869	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"TSPAN8__pos"	100.810579077634	5.35941395473817	8.8240917264128	3.13032878409685	0.180141620132918	2.72960767454009	3.23594378075729e-07	2.22044604925031e-16
"GJB2__pos"	7.94549628535024e-07	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	69.1503180412073	10.6654580723842	64.7646798632471	3.64968143740021
"PRSS23__pos"	19.0086192820567	2.22044604925031e-16	17.8276404225562	10.9706334912032	2.22044604925031e-16	1.96071939438676	95.8416283592842	2.22044604925031e-16
"NREP__pos"	8.06554502210805e-14	1.24538283305616	53.1808504099067	4.37168683682834	3.51784131857102	1.33187456352841e-13	79.1743819884525	3.9852752353582
"CES1__pos"	2.22044604925031e-16	14.0893042630341	36.8512056271287	58.256534975221	32.4103665674814	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"FGFR1__pos"	2.22044604925031e-16	2.22044604925031e-16	55.4872357104212	51.4094586679931	2.22044604925031e-16	2.22044604925031e-16	46.6328665901808	0.81447523726586
"FMOD__pos"	24.3622481392499	1.78668421788528	24.2774369671998	57.4483236490304	2.22044604925031e-16	2.22044604925031e-16	49.2101475675659	2.22044604925031e-16
"MSLN__pos"	49.2450928918072	27.9229115246917	2.22044604925031e-16	3.36091199144612	39.1884436236507	2.22044604925031e-16	6.95701140019404	7.95674614979324
"KRT5__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	1.0836105083601	118.62936254785	2.22044604925031e-16	0.8627830218975	1.6054817618909
"GBP1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	22.7281358049548	5.51697231387258	2.22044604925031e-16	7.74862955258148	128.889879788379
"CRYAB__pos"	2.22044604925031e-16	11.1632093976755	3.41076388439837	85.3324415319943	53.619127426378	2.22044604925031e-16	2.57238228595188	2.22044604925031e-16
"IFI30__pos"	2.06508636377868	11.2224721216844	0.76100224215209	13.1918699814958	2.22044604925031e-16	2.22044604925031e-16	7.19945051373788	126.874591011752
"EFHD1__pos"	10.5611921745566	8.10417022369785	44.8216408420502	32.0155331776503	2.22044604925031e-16	2.22044604925031e-16	44.5052547011147	2.22044604925031e-16
"IFI16__pos"	0.645732535920925	2.22044604925031e-16	2.22044604925031e-16	13.7227400203289	40.0587059679671	2.22044604925031e-16	31.2119282990826	70.7110878230505
"SLC15A3__pos"	2.22044604925031e-16	15.5484625799078	2.22044604925031e-16	20.2856617120989	2.22044604925031e-16	2.22044604925031e-16	18.8031052672856	109.77555271938
