"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"MMP8"	"MMP8"	-0.00745160724742549	-0.411767653448231	0.628368686393632	0.0872529992544228	-0.126019030235838	"IS03"	0.628368686393632
"COL15A1"	"COL15A1"	-0.0630966065197802	-0.635664417492811	0.610496747008746	-0.140728463530584	0.374885023733905	"IS03"	0.610496747008746
"CEACAM4"	"CEACAM4"	-0.0792627501776022	-0.503851274499364	0.608590411181115	0.112454358380845	0.0812446460430919	"IS03"	0.608590411181115
"CR1"	"CR1"	0.137168564747248	-0.696704890574668	0.598631654862347	0.0220390455914863	0.349245391892011	"IS03"	0.598631654862347
"KLRC4"	"KLRC4"	0.0756544151662645	-0.471316939305134	0.598230103959999	-0.0576589121199659	0.0204680447937693	"IS03"	0.598230103959999
"ADGRE3"	"ADGRE3"	0.149582365430099	-0.697061808819939	0.597275334465812	0.133735614045475	0.310676702933301	"IS03"	0.597275334465812
"MRC1"	"MRC1"	-0.065362121722032	-0.592202487445751	0.589033322485203	-0.040304058234055	0.297894170012461	"IS03"	0.589033322485203
"MMP1"	"MMP1"	-0.1669392669691	-0.247797713531101	0.581390437420213	0.157048313337829	-0.292338238665043	"IS03"	0.581390437420213
"CLEC12A"	"CLEC12A"	-0.0619341567936355	-0.410386806026413	0.571021923667738	-0.0474244460856104	0.0125464717237161	"IS03"	0.571021923667738
"CXCL5"	"CXCL5"	-0.0593735862517387	-0.429195238677528	0.55053954104167	0.447879338739245	-0.0862865207496453	"IS03"	0.55053954104167
"DAZL"	"DAZL"	0.0113493010114239	-0.399290494457926	0.531951797543483	0.042813633984671	-0.018982808174488	"IS03"	0.531951797543483
"NCR1"	"NCR1"	0.088464889939427	-0.522141717401762	0.518260477481025	0.10151551822761	0.152860467175225	"IS03"	0.518260477481025
"IL11"	"IL11"	0.0888009411567617	-0.31744051840413	0.506240887938347	0.0728224216957229	-0.170799683651202	"IS03"	0.506240887938347
"THY1"	"THY1"	0.00222410963789825	-0.387900986894862	0.495834029841592	-0.111536778598318	0.0605335510265783	"IS03"	0.495834029841592
"THBS1"	"THBS1"	-0.0332555802329044	-0.488800126182143	0.483225751373342	-0.182419833122911	0.286908981692157	"IS03"	0.483225751373342
