"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"SCRG1"	"SCRG1"	1.67001177345754
"CYSTM1"	"CYSTM1"	-0.362409402803379
"APLNR"	"APLNR"	-0.171617698565619
"NFAM1"	"NFAM1"	-0.565095991232605
"COLGALT2"	"COLGALT2"	0.462532210420021
"RP4.608O15.3"	"RP4.608O15.3"	-0.125440838634305
"APCS"	"APCS"	-0.173649312662086
"TTR"	"TTR"	-0.280681375369398
"SIK2"	"SIK2"	0.350368369676299
"C8A"	"C8A"	-0.33689835807737
"RAB23"	"RAB23"	0.732209256939157
"LAMA2"	"LAMA2"	0.815762793510215
"CSMD1"	"CSMD1"	-0.773390832200857
"MYOCD"	"MYOCD"	0.587014539953201
"TNNI2"	"TNNI2"	0.851827411835734
"TGFB1I1"	"TGFB1I1"	0.0201747101374152
"KCNK16"	"KCNK16"	-0.106159753869004
"ACVR1C"	"ACVR1C"	-0.531167085232466
"KLKB1"	"KLKB1"	-1.11433509572077
"SCARA5"	"SCARA5"	0.244512836030229
"MAP3K7CL"	"MAP3K7CL"	-0.0212368915849345
"GHR"	"GHR"	-0.51088801543317
"OBSCN"	"OBSCN"	-0.842012254117006
"CKM"	"CKM"	-0.302693206935132
"DLC1"	"DLC1"	-0.567431438238505
"MYH7"	"MYH7"	-0.126003547599154
"CACNB2"	"CACNB2"	0.104982895082875
"TNNI1"	"TNNI1"	-0.275659326772022
"DNAH8"	"DNAH8"	-0.160297700400364
"PAX8"	"PAX8"	-0.541556666171275
"GIMAP6"	"GIMAP6"	-1.65530064296762
"FHL5"	"FHL5"	-0.161460696050514
"TNNT3"	"TNNT3"	-0.603953822068544
"FGB"	"FGB"	-0.170138415521375
"MBL2"	"MBL2"	-0.0861499326028058
"GCG"	"GCG"	-0.0483933918495827
"EDN3"	"EDN3"	-0.173006735029827
"VAMP1"	"VAMP1"	-1.3035760481518
"MYL1"	"MYL1"	-0.0560716605146964
"SLC2A4"	"SLC2A4"	0.498761468771726
"F9"	"F9"	-0.122743291640245
"MYL2"	"MYL2"	-0.12735176659814
"PTX3"	"PTX3"	-0.151834040641028
"TNNC2"	"TNNC2"	3.88852880710692
"HAO1"	"HAO1"	-0.0906477396591714
