"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"MS2010072023"	"MS2010072042"	"MS2010072835"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072904"	"MS2010072921"
"ZBTB40"	7.70712176976297	8.13655877388929	7.15040595190112	8.36099537156486	8.8363994935853	7.68143103149947	8.01261582248465	7.18156582038718	7.47775978038551	7.1734886563824	7.90683172845124	7.21666422520209	8.20350389524834	7.68496247452305	7.43302771191098	6.99245832902303	7.42170408102269	7.67357815887005	8.30875605831764	7.60403622084493	7.41443230452698	8.32845510478041	7.21011186099628	7.65476319082793	7.6892344515693	7.75361502071081	7.32678325173328	8.12710241930453
"LOC646513"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MGC16121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100131582"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C9orf139"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THBS3"	6.06184357591188	7.36615793107292	5.77454035081299	7.08286778110595	5.12731604388115	8.05559773931416	7.90379919567661	8.638452256004	7.42657197104538	7.06740516271131	6.98450421031262	7.10289016413999	7.41212389945845	6.50262224772227	7.47537694778033	7.33789426477017	6.82687346018201	7.54826418890019	7.54717670102033	7.33496795973202	8.1520618177425	7.34837213322922	7.80300850038718	6.98126319919371	7.44984416735722	9.30567555585514	7.15954788781337	7.61077541579602
"MPZ"	6.80905329484147	6.58674716129969	7.36413932819174	5.47596211540693	7.27293132541422	6.98318198243623	6.07974489263702	5.7523533190792	7.16931119432771	5.52497088825078	6.29604152027304	5.71723186609072	6.49443118902012	5.47539409575392	2.40072019822069	7.18926791890072	5.7278076635906	6.357367118574	5.98254511705348	5.68496159889328	7.08381323647049	6.53496313633473	6.71388722643078	5.7381947993443	3.30341372123144	3.33422060485502	3.29827361806747	6.69131882173571
"SEMA4G"	2.85129411593242	5.52123767500671	2.72848032323472	3.49348386562051	6.14496290988143	6.32780009915778	2.16215441693324	2.38087606862777	5.56713482587925	3.07332064062831	4.49582462657944	4.02402296971163	1.71547237122964	1.7301500313883	1.86205149268573	2.15156997060104	1.49769387759711	4.88689770416581	3.37600595114153	3.22148678940353	3.39784595335305	2.74477840279368	6.36173870815942	2.02643962607343	3.17751752725796	2.15872666291527	2.89406688899878	4.60654288997848
"LOC100132062"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC6A13"	6.15656603214175	4.27142843931672	4.0274563721064	4.68638633357332	8.58578658614546	3.3100303233119	3.87015885232006	5.13517312293835	3.54124789795529	4.0711890087931	5.51184398077544	5.88039924552298	3.34062247966797	2.84678739028758	4.05010811593315	5.15021800330246	6.24081584707362	5.49811375555336	4.69078543284869	4.62056197715515	5.9734773463477	4.83150283183098	6.49063445905586	3.34058735714982	5.73487283027954	4.52089326297638	6.10983203661053	3.63354483448905
