"ID"	"CellType"
"C11972"	"Epithelial.cells"
"C19960"	"Epithelial.cells"
"C1858"	"Epithelial.cells"
"C10407"	"Epithelial.cells"
"C31436"	"Epithelial.cells"
"C10859"	"Epithelial.cells"
"C3194"	"Epithelial.cells"
"C31732"	"Epithelial.cells"
"C1697"	"Epithelial.cells"
"C14504"	"Epithelial.cells"
"C19510"	"Epithelial.cells"
"C12566"	"Epithelial.cells"
"C17801"	"Epithelial.cells"
"C31596"	"Epithelial.cells"
"C2702"	"Epithelial.cells"
"C10615"	"Epithelial.cells"
"C13859"	"Epithelial.cells"
"C31804"	"Epithelial.cells"
"C11684"	"Epithelial.cells"
"C1879"	"Epithelial.cells"
"C12577"	"Epithelial.cells"
"C32274"	"Epithelial.cells"
"C3031"	"Epithelial.cells"
"C3166"	"Epithelial.cells"
"C31562"	"Epithelial.cells"
"C1505"	"Epithelial.cells"
"C10143"	"Epithelial.cells"
"C10326"	"Epithelial.cells"
"C14928"	"Epithelial.cells"
"C12664"	"Epithelial.cells"
"C11093"	"Epithelial.cells"
"C473"	"Epithelial.cells"
"C2132"	"Epithelial.cells"
"C31244"	"Epithelial.cells"
"C181"	"Epithelial.cells"
"C19910"	"Epithelial.cells"
"C15839"	"Epithelial.cells"
"C15855"	"Epithelial.cells"
"C2775"	"Epithelial.cells"
"C12418"	"Epithelial.cells"
"C30801"	"Epithelial.cells"
"C31583"	"Epithelial.cells"
"C31669"	"Epithelial.cells"
"C10069"	"Epithelial.cells"
"C7609"	"Epithelial.cells"
"C11711"	"Epithelial.cells"
"C31766"	"Epithelial.cells"
"C10572"	"Epithelial.cells"
"C15810"	"Epithelial.cells"
"C2802"	"Epithelial.cells"
"C10696"	"Epithelial.cells"
"C13737"	"Epithelial.cells"
"C30952"	"Epithelial.cells"
"C31937"	"Epithelial.cells"
"C31204"	"Epithelial.cells"
"C1317"	"Epithelial.cells"
"C10365"	"Epithelial.cells"
"C19485"	"Epithelial.cells"
"C32004"	"Epithelial.cells"
"C5581"	"Epithelial.cells"
"C31193"	"Epithelial.cells"
"C10355"	"Epithelial.cells"
"C30980"	"Epithelial.cells"
"C10734"	"Epithelial.cells"
"C14598"	"Epithelial.cells"
"C714"	"Epithelial.cells"
"C11818"	"Epithelial.cells"
"C2262"	"Epithelial.cells"
"C14636"	"Epithelial.cells"
"C13335"	"Epithelial.cells"
"C5824"	"Epithelial.cells"
"C14991"	"Epithelial.cells"
"C30844"	"Epithelial.cells"
"C30726"	"Epithelial.cells"
"C30862"	"Epithelial.cells"
"C13960"	"Epithelial.cells"
"C30804"	"Epithelial.cells"
"C6442"	"Epithelial.cells"
"C10122"	"Epithelial.cells"
"C2911"	"Epithelial.cells"
"C31372"	"Epithelial.cells"
"C31682"	"Epithelial.cells"
"C14945"	"Epithelial.cells"
"C2406"	"Epithelial.cells"
"C3186"	"Epithelial.cells"
"C31252"	"Epithelial.cells"
"C31634"	"Epithelial.cells"
"C14277"	"Epithelial.cells"
"C31957"	"Epithelial.cells"
"C31330"	"Epithelial.cells"
"C11034"	"Epithelial.cells"
"C11478"	"Epithelial.cells"
"C14570"	"Epithelial.cells"
"C11041"	"Epithelial.cells"
"C13462"	"Epithelial.cells"
"C16078"	"Epithelial.cells"
"C14028"	"Epithelial.cells"
"C30924"	"Epithelial.cells"
