Mixture	Fibroblasts	Endothelial.cells	Epithelial.cells	B.cells	CD4.T.cells	CD8.T.cells	Dendritic.cells	Mast.cells	Monocytes.and.Macrophages	NK.cells	PCs	PMNs
TCGA.56.8308.01A.11R.2296.07	0.134532943430156	0.0425676580131263	0.626751001707654	0.0123486134274415	0.0379719874673099	0.0114924823978833	0.00415258316884059	0.0104473830171033	0.0838883499894165	0.00327643357659699	0.0316549430383858	0.000915620766086119
TCGA.56.8309.11A.01R.2296.07	0.0196392227830656	0.0679856827611723	0.352464494891085	0.0105795463705116	0.0726990170119098	0.0510142571970354	0.0357297288827425	0.0166807973320886	0.320127183757479	0.0221853124166658	0.0121899605619986	0.0187047960342457
TCGA.56.8503.01A.11R.2403.07	0.307552959755665	0.0224563747751648	0.243577791358012	0.00454317946641586	0.0616194614057452	0.0240197969202896	0.00193971222440059	0.0231271259143727	0.258421435288056	0.0136324338592378	0.0328151154163435	0.00629461361629658
TCGA.56.A5DS.01A.11R.A27Q.07	0.0703557775765009	0.0190408114312549	0.741411261654076	0.016297003602689	0.0303967510015811	0.0158307587653182	0.00706051750807488	0.00942316582907643	0.0492517092049195	0.0051190476498963	0.029741749835754	0.00607144594085892
TCGA.58.8390.01A.11R.2326.07	0.274579450404839	0.00621072480192352	0.510752282956841	0.0022364817923023	0.0535462092338271	0.0173277442079293	0.00637750201767676	0.0075025073328258	0.112356357043241	0.00529023787230443	0.00175462723137445	0.00206587510491506
TCGA.58.8391.01A.11R.2326.07	0.0409818405796789	0.00601410775221554	0.873091707419509	0.00149432509929573	0.00753988322704179	0.0101663880567443	0.000914203967491137	0.00465757418988111	0.0440824076420921	0.00315036970070893	0.00789875617300486	8.4361923365152e-06
TCGA.58.8393.01A.11R.2326.07	0.0760113796786026	0.0181923926548779	0.600770592974072	0.0131751135199513	0.0513069225886457	0.0481714356479375	0.010504837513162	0.00569879821678137	0.128704319767058	0.020899144115009	0.0225337225544988	0.00403134076940357
TCGA.58.A46N.01A.11R.A24H.07	0.0298512817147138	0	0.960908597579239	0.00020135344954229	0.00152823140959383	0.000912816907938284	0.000761485268771224	0.00181834942835669	0.00242935765129961	0.000669182575135685	0.00089711506954356	2.22289458659921e-05
TCGA.60.2695.01A.01R.0851.07	0.0479471960505362	0.0225794848598086	0.658214752085214	0.0108960202283295	0.0396871129841656	0.041795540259004	0.00149573125678216	0.00596451055196595	0.108782371096438	0.0138120893055421	0.0455793960309089	0.00324579529130471
TCGA.60.2703.01A.11R.2045.07	0.293586868812443	0.0111027887334754	0.59136311193099	0.00220306548349444	0.0169429035616934	0.00408383543963705	0.00362149468755026	0.00188815830485778	0.0320898040931906	0.00721768162031078	0.0340191849247851	0.00188110240757171
