"ID"	"CellType"	"Tissue"
"Cell_482"	"B.cells"	"Normal"
"Cell_483"	"B.cells"	"Tumor"
"Cell_484"	"B.cells"	"Tumor"
"Cell_485"	"B.cells"	"Tumor"
"Cell_486"	"B.cells"	"Tumor"
"Cell_487"	"B.cells"	"Normal"
"Cell_488"	"B.cells"	"Tumor"
"Cell_489"	"B.cells"	"Normal"
"Cell_490"	"B.cells"	"Tumor"
"Cell_491"	"B.cells"	"Normal"
"Cell_492"	"B.cells"	"Normal"
"Cell_493"	"B.cells"	"Tumor"
"Cell_494"	"B.cells"	"Normal"
"Cell_495"	"B.cells"	"Tumor"
"Cell_496"	"B.cells"	"Normal"
"Cell_497"	"B.cells"	"Tumor"
"Cell_498"	"B.cells"	"Normal"
"Cell_499"	"B.cells"	"Tumor"
"Cell_500"	"B.cells"	"Normal"
"Cell_501"	"B.cells"	"Normal"
"Cell_502"	"B.cells"	"Normal"
"Cell_503"	"B.cells"	"Tumor"
"Cell_504"	"B.cells"	"Tumor"
"Cell_505"	"B.cells"	"Tumor"
"Cell_506"	"B.cells"	"Tumor"
"Cell_507"	"B.cells"	"Tumor"
"Cell_508"	"B.cells"	"Tumor"
"Cell_509"	"B.cells"	"Tumor"
"Cell_510"	"B.cells"	"Tumor"
"Cell_511"	"B.cells"	"Tumor"
"Cell_512"	"B.cells"	"Tumor"
"Cell_513"	"B.cells"	"Tumor"
"Cell_514"	"B.cells"	"Tumor"
"Cell_515"	"B.cells"	"Tumor"
"Cell_516"	"B.cells"	"Normal"
"Cell_517"	"B.cells"	"Tumor"
"Cell_518"	"B.cells"	"Tumor"
"Cell_519"	"B.cells"	"Normal"
"Cell_520"	"B.cells"	"Tumor"
"Cell_521"	"B.cells"	"Tumor"
"Cell_522"	"B.cells"	"Tumor"
"Cell_523"	"B.cells"	"Tumor"
"Cell_524"	"B.cells"	"Tumor"
"Cell_525"	"B.cells"	"Normal"
"Cell_526"	"B.cells"	"Tumor"
"Cell_527"	"B.cells"	"Normal"
"Cell_528"	"B.cells"	"Tumor"
"Cell_529"	"B.cells"	"Tumor"
"Cell_530"	"B.cells"	"Tumor"
"Cell_531"	"B.cells"	"Tumor"
"Cell_532"	"B.cells"	"Tumor"
"Cell_533"	"B.cells"	"Tumor"
"Cell_534"	"B.cells"	"Tumor"
"Cell_535"	"B.cells"	"Tumor"
"Cell_536"	"B.cells"	"Tumor"
"Cell_537"	"B.cells"	"Tumor"
"Cell_538"	"B.cells"	"Tumor"
"Cell_539"	"B.cells"	"Tumor"
"Cell_540"	"B.cells"	"Normal"
"Cell_541"	"B.cells"	"Tumor"
"Cell_542"	"B.cells"	"Tumor"
"Cell_543"	"B.cells"	"Tumor"
"Cell_544"	"B.cells"	"Normal"
"Cell_545"	"B.cells"	"Tumor"
"Cell_546"	"B.cells"	"Normal"
"Cell_547"	"B.cells"	"Normal"
"Cell_548"	"B.cells"	"Tumor"
"Cell_549"	"B.cells"	"Tumor"
"Cell_550"	"B.cells"	"Tumor"
"Cell_551"	"B.cells"	"Tumor"
"Cell_552"	"B.cells"	"Normal"
"Cell_553"	"B.cells"	"Normal"
"Cell_554"	"B.cells"	"Tumor"
"Cell_555"	"B.cells"	"Tumor"
"Cell_556"	"B.cells"	"Tumor"
"Cell_557"	"B.cells"	"Tumor"
"Cell_558"	"B.cells"	"Tumor"
"Cell_559"	"B.cells"	"Normal"
"Cell_560"	"B.cells"	"Tumor"
"Cell_561"	"B.cells"	"Normal"
"Cell_562"	"B.cells"	"Tumor"
"Cell_563"	"B.cells"	"Tumor"
"Cell_564"	"B.cells"	"Tumor"
"Cell_565"	"B.cells"	"Tumor"
"Cell_566"	"B.cells"	"Normal"
"Cell_567"	"B.cells"	"Tumor"
"Cell_568"	"B.cells"	"Tumor"
"Cell_569"	"B.cells"	"Tumor"
"Cell_570"	"B.cells"	"Tumor"
"Cell_571"	"B.cells"	"Tumor"
"Cell_572"	"B.cells"	"Tumor"
"Cell_573"	"B.cells"	"Tumor"
"Cell_574"	"B.cells"	"Tumor"
"Cell_575"	"B.cells"	"Tumor"
"Cell_576"	"B.cells"	"Normal"
"Cell_577"	"B.cells"	"Normal"
"Cell_578"	"B.cells"	"Tumor"
"Cell_579"	"B.cells"	"Tumor"
"Cell_580"	"B.cells"	"Tumor"
"Cell_581"	"B.cells"	"Tumor"
"Cell_582"	"B.cells"	"Tumor"
"Cell_583"	"B.cells"	"Normal"
"Cell_584"	"B.cells"	"Tumor"
"Cell_585"	"B.cells"	"Tumor"
"Cell_586"	"B.cells"	"Normal"
"Cell_587"	"B.cells"	"Normal"
"Cell_588"	"B.cells"	"Tumor"
"Cell_589"	"B.cells"	"Tumor"
"Cell_590"	"B.cells"	"Normal"
"Cell_591"	"B.cells"	"Tumor"
"Cell_592"	"B.cells"	"Tumor"
"Cell_593"	"B.cells"	"Normal"
"Cell_594"	"B.cells"	"Normal"
"Cell_595"	"B.cells"	"Tumor"
"Cell_596"	"B.cells"	"Tumor"
"Cell_597"	"B.cells"	"Tumor"
"Cell_598"	"B.cells"	"Normal"
"Cell_599"	"B.cells"	"Tumor"
"Cell_600"	"B.cells"	"Tumor"
"Cell_601"	"B.cells"	"Tumor"
"Cell_602"	"B.cells"	"Tumor"
