"IS01"	"IS02"	"IS03"	"IS04"
"INHBA__pos"	2.22044604925031e-16	2.22044604925031e-16	1.0563079687108e-11	20.98008757671
"GPR88__pos"	1.4216456297459e-12	6.19663549504759	7.9956920514691	10.5411983557236
"FCN3__pos"	2.17223913805472	2.22044604925031e-16	3.14647972985948	11.9460985722488
"MAMDC2__pos"	2.17580541691533	4.49937504358167	1.95348698643594e-06	16.8905718678872
"CCL1__pos"	2.66001060255186	3.12569004929898	14.0163830942143	5.24473466818591
"P2RY1__pos"	0.445113121713816	4.14962839269449	6.63307505529168	8.66262764217035
"TRIM15__pos"	0.124729230328926	6.07107276228909	4.16748623502266	10.0157217486903
"FNDC3B__pos"	0.117721886372501	1.92098279680037	6.0999915391745	14.4154765035306
"TLX1__pos"	0.196639203467303	7.15408612156969	2.22044604925031e-16	11.3595702440853
"PTPRR__pos"	5.72151525549113	4.70301236676725	4.87746243821908	7.96461200671092
"FFAR2__pos"	2.22044604925031e-16	2.23776375067422e-16	21.1687539264985	4.73260912346468
"CCL7__pos"	1.55762964770898	0.260387327698218	15.5830274438063	8.00973565243971
"IFI6__pos"	2.60556051414404	2.22044604925031e-16	14.9564244731688	2.12618620571214
"C4BPA__pos"	1.64068384981663	1.10611550674255	3.51800550612263	10.6042187250898
"DEFA4__pos"	3.25442433252626	4.93009902862913	2.51045671802014	9.08463955256322
"SLC4A1__pos"	2.68226738512047e-09	9.40369422791533	1.80964382083752	10.3852168638469
"FAM123A__pos"	2.50428389580702	5.01709121904233	2.31962145722614	8.85568716682118
"ENC1__pos"	2.22044604925031e-16	4.26381406144443	2.64502950622734	14.9425197271455
"LMAN1L__pos"	2.90665665934042	11.410247750027	1.62209747525684	6.67978845254282
"DUOXA2__pos"	0.203259355925788	2.98044220190819	2.22044604925031e-16	16.2783582110807
"PYGL__pos"	2.22044604925031e-16	0.632305421459669	11.9057316975916	8.38426617083317
"NFE2__pos"	0.512928666379559	1.70480264502448	5.0800175165802	13.9160682347925
"NID1__pos"	2.22044604925031e-16	2.04489042430376	0.547630634897928	18.8444198385056
"ITGA2B__pos"	0.294474786731929	10.5935012879263	1.98606315747593	11.7594514030027
"SULT1B1__pos"	1.12944008263183	2.37499505029156	9.49715329252885	10.370216995487
"C3AR1__pos"	2.71517343421445	0.0413342963839153	18.9589501873655	2.50541656305341
"NRP1__pos"	2.22044604925031e-16	2.22044604925031e-16	3.96297558011563	17.1166741014664
"C1QTNF7__pos"	2.44511136623946	2.0285569218517	1.86105665961874	16.1717219464254
"SIGLEC7__pos"	0.842661174074239	2.14484293797181	18.7689858387339	2.61940010552779
"IL8RB__pos"	0.638067678995453	1.44311782156911	3.17137064228435	16.8720549448328
"HERC5__pos"	1.26264087617348	5.06313869881653	10.9433400082699	5.41178075944472
