"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"GRIN3B"	"GRIN3B"	1.17859030755954	-0.964152589182029	0.0480794266670144	-0.0917066402762327	"IS01"	1.17859030755954
"SNX26"	"SNX26"	1.17200519355021	-1.1398081281319	-0.252375415128824	0.372987705844167	"IS01"	1.17200519355021
"LOC389607"	"LOC389607"	1.16679552563782	-1.04850356206098	-0.0861265150530621	0.130543493534673	"IS01"	1.16679552563782
"LOC100288257"	"LOC100288257"	1.16636342113839	-0.685405594908573	0.170027967361445	-0.492537241305219	"IS01"	1.16636342113839
"GIPR"	"GIPR"	1.15345604705698	-0.824577386011302	0.163946445686862	-0.32338636943239	"IS01"	1.15345604705698
"LOC100286968"	"LOC100286968"	1.14954884963364	-0.830570002514708	-0.288536774549379	0.0890157631710349	"IS01"	1.14954884963364
"FER1L4"	"FER1L4"	1.14660716874642	-0.88315975338898	-0.116737041192209	-0.00363250226773847	"IS01"	1.14660716874642
"LOC100288476"	"LOC100288476"	1.14436884713788	-0.750230298703721	-0.0932324121632949	-0.16733241558103	"IS01"	1.14436884713788
"LOC619207"	"LOC619207"	1.13935437982887	-0.90039058510894	-0.229371083515508	0.122041174458634	"IS01"	1.13935437982887
"LOC100132955"	"LOC100132955"	1.13740137474268	-0.54501304498861	-0.309095826817903	-0.192633308783121	"IS01"	1.13740137474268
"PRICKLE4"	"PRICKLE4"	1.13495850362623	-1.05694832001772	-0.0803825394559893	0.164354005686128	"IS01"	1.13495850362623
"FAM18B2"	"FAM18B2"	1.1298371811185	-0.70959850094558	0.0854086822050162	-0.356858683738504	"IS01"	1.1298371811185
"CYP21A2"	"CYP21A2"	1.12185144678459	-0.821077157008516	0.354851456154936	-0.467407277207285	"IS01"	1.12185144678459
"NPIPL3"	"NPIPL3"	1.12145314929449	-0.969129851148784	-0.309681830860488	0.285064314591962	"IS01"	1.12145314929449
